route_id,source_city,destination_city,distance_km
1,Agra,Dehradun,560
2,Manali,Delhi,290
3,Haridwar,Jaipur,159
4,Shimla,Varanasi,447
5,Manali,Chandigarh,283
6,Jaipur,Manali,276
7,Agra,Delhi,480
8,Delhi,Dehradun,587
9,Delhi,Manali,232
10,Delhi,Varanasi,641
11,Delhi,Haridwar,329
12,Chandigarh,Lucknow,221
13,Lucknow,Shimla,556
14,Agra,Varanasi,540
15,Chandigarh,Lucknow,449
16,Shimla,Jaipur,504
17,Chandigarh,Dehradun,267
18,Manali,Jaipur,362
19,Delhi,Haridwar,556
20,Haridwar,Shimla,446
21,Varanasi,Agra,520
22,Shimla,Dehradun,246
23,Chandigarh,Delhi,347
24,Jaipur,Delhi,640
25,Chandigarh,Jaipur,305
26,Varanasi,Chandigarh,290
27,Lucknow,Haridwar,529
28,Manali,Jaipur,225
29,Varanasi,Dehradun,604
30,Haridwar,Agra,420
31,Chandigarh,Haridwar,467
32,Lucknow,Delhi,334
33,Chandigarh,Dehradun,347
34,Dehradun,Shimla,253
35,Shimla,Lucknow,228
36,Haridwar,Delhi,592
37,Shimla,Lucknow,343
38,Shimla,Lucknow,204
39,Chandigarh,Haridwar,378
40,Varanasi,Lucknow,559
41,Lucknow,Agra,519
42,Dehradun,Jaipur,233
43,Shimla,Lucknow,533
44,Varanasi,Shimla,565
45,Chandigarh,Agra,553
46,Chandigarh,Haridwar,525
47,Lucknow,Agra,392
48,Shimla,Agra,170
49,Delhi,Varanasi,469
50,Shimla,Dehradun,429
51,Haridwar,Shimla,421
52,Manali,Haridwar,256
53,Shimla,Chandigarh,501
54,Delhi,Varanasi,238
55,Varanasi,Haridwar,519
56,Delhi,Agra,630
57,Agra,Dehradun,550
58,Manali,Lucknow,356
59,Chandigarh,Varanasi,345
60,Agra,Jaipur,191
61,Delhi,Agra,421
62,Chandigarh,Lucknow,405
63,Haridwar,Agra,205
64,Chandigarh,Manali,435
65,Dehradun,Varanasi,469
66,Delhi,Shimla,587
67,Agra,Varanasi,340
68,Haridwar,Lucknow,520
69,Dehradun,Haridwar,611
70,Agra,Delhi,258
71,Manali,Jaipur,156
72,Delhi,Chandigarh,600
73,Delhi,Agra,403
74,Agra,Delhi,499
75,Agra,Chandigarh,560
76,Delhi,Jaipur,283
77,Agra,Dehradun,594
78,Shimla,Lucknow,341
79,Varanasi,Shimla,485
80,Varanasi,Manali,277
81,Agra,Shimla,240
82,Chandigarh,Jaipur,327
83,Lucknow,Haridwar,475
84,Agra,Varanasi,567
85,Chandigarh,Dehradun,226
86,Manali,Shimla,427
87,Chandigarh,Lucknow,265
88,Varanasi,Dehradun,525
89,Haridwar,Chandigarh,355
90,Jaipur,Varanasi,435
91,Lucknow,Shimla,214
92,Dehradun,Manali,345
93,Haridwar,Chandigarh,300
94,Dehradun,Jaipur,639
95,Delhi,Manali,422
96,Dehradun,Shimla,399
97,Manali,Haridwar,151
98,Varanasi,Delhi,436
99,Jaipur,Agra,163
100,Jaipur,Agra,573
101,Jaipur,Shimla,585
102,Haridwar,Varanasi,335
103,Jaipur,Lucknow,154
104,Jaipur,Varanasi,584
105,Lucknow,Jaipur,282
106,Jaipur,Varanasi,447
107,Haridwar,Varanasi,352
108,Chandigarh,Delhi,399
109,Shimla,Jaipur,464
110,Haridwar,Agra,377
111,Varanasi,Dehradun,619
112,Lucknow,Haridwar,307
113,Shimla,Dehradun,434
114,Chandigarh,Varanasi,423
115,Delhi,Manali,198
116,Haridwar,Lucknow,541
117,Manali,Agra,571
118,Varanasi,Jaipur,645
119,Chandigarh,Varanasi,261
120,Haridwar,Manali,367
121,Varanasi,Manali,351
122,Delhi,Varanasi,553
123,Lucknow,Chandigarh,649
124,Shimla,Varanasi,222
125,Manali,Haridwar,377
126,Delhi,Haridwar,636
127,Manali,Delhi,290
128,Shimla,Haridwar,594
129,Manali,Agra,166
130,Jaipur,Delhi,432
131,Delhi,Jaipur,588
132,Shimla,Jaipur,590
133,Dehradun,Delhi,378
134,Agra,Varanasi,377
135,Jaipur,Delhi,507
136,Jaipur,Dehradun,164
137,Jaipur,Agra,419
138,Agra,Lucknow,372
139,Chandigarh,Delhi,279
140,Delhi,Dehradun,258
141,Jaipur,Lucknow,261
142,Haridwar,Varanasi,352
143,Dehradun,Delhi,190
144,Jaipur,Delhi,477
145,Lucknow,Chandigarh,387
146,Agra,Lucknow,355
147,Shimla,Chandigarh,509
148,Manali,Lucknow,554
149,Haridwar,Shimla,558
150,Chandigarh,Manali,411
151,Manali,Agra,344
152,Lucknow,Agra,603
153,Dehradun,Lucknow,583
154,Jaipur,Dehradun,392
155,Agra,Jaipur,605
156,Dehradun,Jaipur,473
157,Dehradun,Jaipur,607
158,Dehradun,Agra,411
159,Jaipur,Haridwar,517
160,Chandigarh,Lucknow,200
161,Shimla,Varanasi,476
162,Haridwar,Chandigarh,537
163,Chandigarh,Jaipur,451
164,Haridwar,Shimla,212
165,Varanasi,Dehradun,278
166,Varanasi,Haridwar,631
167,Delhi,Shimla,445
168,Delhi,Haridwar,554
169,Varanasi,Lucknow,580
170,Jaipur,Shimla,453
171,Varanasi,Delhi,601
172,Agra,Chandigarh,511
173,Chandigarh,Jaipur,543
174,Haridwar,Chandigarh,574
175,Varanasi,Shimla,368
176,Dehradun,Haridwar,174
177,Chandigarh,Shimla,603
178,Dehradun,Haridwar,507
179,Manali,Jaipur,528
